protocolType	typeId	subsystemId	controllable	widget	type	uiClass	localPairing
1	590336	1	io:CarLockIOComponent	CarLock	1	DoorLock	0
1	590336	2	io:CarButtonIODeviceSensor	CarButtonSensor	2	CarButtonSensor	0
1	590336	3	io:CarButtonIODeviceSensor	CarButtonSensor	2	CarButtonSensor	0
1	655360	0	io:VerticalInteriorBlindGenericIOComponent	PositionableScreen	1	Screen	1
1	655361	0	io:VerticalInteriorBlindVeluxIOComponent	PositionableTiltedScreen	1	Screen	1
1	655362	0	io:VerticalInteriorBlindGenericIOComponent	PositionableScreen	1	Screen	1
1	851968	0	io:DualRollerShutterIOComponent	PositionableDualRollerShutter	1	RollerShutter	1
1	917504	0	io:HeatingTemperatureInterfaceIOComponent	HeatingTemperatureInterface	1	HeatingSystem	1
1	983040	0	io:OnOffIOComponent	StatefulOnOff	1	OnOff	1
1	983552	0	io:SwitchMicroModuleIOComponent	TimedOnOff	1	OnOff	1
1	983554	0	io:LightMicroModuleSomfyIOComponent	TimedOnOffLight	1	Light	1
1	1048576	0	io:HorizontalAwningIOComponent	PositionableHorizontalAwning	1	Awning	1
1	1048832	0	io:PergolaRailGuidedAwningIOComponent	PergolaHorizontalAwning	1	Pergola	1
1	2199023648770	0	io:DimmableLightMicroModuleSomfyIOComponent	DimmerLight	1	Light	1
1	1048834	0	io:PergolaRailGuidedAwningIOComponent	PergolaHorizontalAwning	1	Pergola	1
1	1114112	0	io:ExteriorVenetianBlindIOComponent	PositionableExteriorVenetianBlind	1	ExteriorVenetianBlind	1
1	1179648	0	io:UnknownIOComponent	IOGeneric	1	Generic	1
1	1245184	0	io:UnknownIOComponent	IOGeneric	1	Generic	1
1	1310720	0	io:VentilationPointIOComponent	VentilationInlet	1	VentilationSystem	1
1	1310976	0	io:VentilationPointAirInletIOComponent	VentilationInlet	1	VentilationSystem	1
1	1311232	0	io:VentilationPointAirTransferIOComponent	VentilationTransfer	1	VentilationSystem	1
1	1311488	0	io:VentilationPointAirOutletIOComponent	VentilationOutlet	1	VentilationSystem	1
1	1376256	0	io:UnknownIOComponent	IOGeneric	1	Generic	1
