protocolType	typeId	name
1	1099512872962	Curtain track Uno
1	1099513004034	Heating Receiver io Dimming SOMFY
1	1099513018882	Heating Receiver io On Off SOMFY
1	1099513069836	Pass APC Hybrid Heat Pump (Atlantic)
1	1099513397506	Sliding Window with lock SOMFY - Air
1	1099513528322	Simple Bioclimatic Pergola Somfy
1	2199025156098	Pergola Louver io
1	1099514970124	Domestic hot water production (Atlantic)
1	1099515035916	Electrical towel dryer (Atlantic - IC4)
1	1103806726146	Thermostatic valve SOMFY
1	1103815311362	Closure sensor - Slim DO SOMFY
1	2199023386626	Roller Shutter With Low Speed Management SOMFY (WT)
1	2199023386882	VR Holla SOMFY
1	2199023452162	Vertical Exterior Awning Uno
1	2199023598082	Discrete Garage Door Opener SOMFY (Rollixo IO)
1	2199023729154	Discrete Gate Opener SOMFY (Axovia 200 3S)
1	2199023910914	Sonesse 40 SOMFY
1	2199024304130	Awning Receiver Uno SOMFY
1	2199024304386	Pergola Rail Guided Awning SOMFY - Pergola CQFD
1	2199024369666	Exterior Venetian Blind Uno
1	2199026597900	Domestic hot water production (Atlantic V3)
1	2199026663692	Electrical heater with adjustable temperature setpoint (Atlantic - BD1)
1	2203318353922	Thermostat SOMFY
1	3298535014402	Roller Shutter Uno SOMFY
1	3298535079938	Pergola Side Screen SOMFY
1	3298535225858	Discrete Garage Door Opener SOMFY (Metro Smart 800 IO)
1	3298535356930	Discrete Gate Opener SOMFY (Ixengo 3S)
1	3298535538690	Actuo 40 SOMFY
1	3298535931906	Horizontal Awning Somfy - Sunea Sunilus CQFD
1	3298535997442	Exterior Venetian Blind J4 with WP2
1	3298538225676	Domestic hot water production (Atlantic V2 - AEX)
1	3298538291468	Electrical heater with adjustable temperature setpoint (Atlantic - BD3.3)
1	4398046642178	Roller Shutter Receiver Uno SOMFY
1	4398046707714	Drop Arm Awning SOMFY
1	4398046853634	Discrete Garage Door Opener SOMFY (Metro Smart 1000 IO)
1	4398046984706	Discrete Gate Opener SOMFY (Invisio 3S)
1	4398047166466	Optuo 40 SOMFY
1	4398047559682	Horizontal Awning Somfy - Sunea Screen 40
1	4398049853452	Domestic hot water production (Atlantic V2 - MURAL)
1	4398049919244	Electrical towel dryer (Atlantic - IC3)
1	5497558269954	Roller Shutter SOMFY - Altus RS
1	5497558335490	Awning Valance SOMFY
1	5497558481410	Discrete Garage Door Opener SOMFY (Dexxo Smart io 1000)
1	5497558612482	Discrete Gate Opener SOMFY (Elixo 3S)
1	5497558794242	Sonesse Wirefree
1	5497559187458	Horizontal Awning Somfy - Sunea 50 CSI
1	5497561481228	Domestic hot water production (Atlantic V2 - SPLIT)
1	5497561547020	Electrical heater with adjustable temperature setpoint (Atlantic - BD3.3 without light)
1	6597069897730	Roller Shutter SOMFY - Oximo 40
1	14293651292162	Roller Shutter SOMFY with battery
1	6597069963266	Screen Receiver Uno SOMFY
1	6597070109186	Discrete Garage Door Opener SOMFY (Rollixo Smart IO)
1	6597070240258	Discrete Gate Opener SOMFY (Elixo Smart)
1	6597073109004	Domestic hot water production (Atlantic V2 - V2 TEC5)
1	7696581525506	Roller Shutter SOMFY - Awmio - Oximo CQFD
1	7696581591042	Vertical Exterior Awning SOMFY - AWMIO
1	7696581868034	Discrete Gate Opener SOMFY (Roly Smart IO)
1	7696584736780	Domestic hot water production (Atlantic V2 - CE FLAT C2)
1	8796093153282	Roller Shutter SOMFY - Short Motor IO
1	8796093218818	Vertical Exterior Awning SOMFY - Sunea Sunilus
1	8796096364556	Domestic hot water production (Atlantic V2 - CE S4)
1	9895604781058	Roller Shutter SOMFY - MicroModule IO
1	9895604846594	Vertical Exterior Awning SOMFY - Slim Receiver
1	9895607992332	Domestic hot water production (Atlantic V2 - CETHI V4)
1	10995116408834	Roller Shutter With Low Speed Management SOMFY (AIR)
1	10995116474370	Vertical Exterior Awning SOMFY - Universal Screen
1	10995119620108	Domestic hot water production (Atlantic V2 - CV4E)
1	12094628036610	Roller Shutter SOMFY - Ilmo 2 50
1	12094628102146	Sunea 40 - Vertical Exterior Awning SOMFY
1	13194139664386	Roller Shutter SOMFY - Solus P&P 50
1	17592187158530	Exterior Venetian Blind - J4 IO
1	18691698786306	Exterior Venetian Blind with WP - J4 IO
1	20890722041858	Exterior Venetian Blind J4 with WP2  - J4 IO
1	35184373202946	Exterior Venetian Blind - EVB RTX BRIDGE
1	36283884830722	Exterior Venetian Blind with WP - EVB RTX BRIDGE
1	38482908086274	Exterior Venetian Blind J4 with WP2 - EVB RTX BRIDGE
1	52776559247362	Exterior Venetian Blind - J4 IO PROTECT
1	53876070875138	Exterior Venetian Blind with WP - J4 IO PROTECT
1	56075094130690	Exterior Venetian Blind J4 with WP2 - J4 IO PROTECT
1	25836848128	Remote Controller (Public Trame)
1	25836848384	V500 Remote Controller
